17 100
<unk>	-0.12504063546657562 0.11952799558639526 0.11490980535745621 0.13345938920974731 0.14700005948543549 -0.12171357125043869 0.11742111295461655 -0.10318127274513245 0.12392020225524902 -0.12264225631952286 -0.13856078684329987 0.059682294726371765 0.13121330738067627 0.11701644957065582 -0.0729437917470932 -0.10151098668575287 -0.12267334759235382 0.10988867282867432 -0.11636582762002945 0.11762497574090958 -0.1319401115179062 0.12020670622587204 0.11697184294462204 -0.0989249050617218 0.12802110612392426 0.12873178720474243 -0.0995435118675232 0.12404902279376984 -0.10099346935749054 -0.12244008481502533 -0.11883056908845901 0.12019113451242447 -0.12339721620082855 0.12296988815069199 0.11516731977462769 0.10751855373382568 -0.13046757876873016 0.13045737147331238 -0.1310768872499466 0.1183333769440651 0.11263079941272736 -0.11787686496973038 0.1331469863653183 -0.11458755284547806 0.10995582491159439 -0.12607571482658386 -0.11643830686807632 -0.10689152032136917 0.10922612249851227 -0.12724271416664124 0.1272701770067215 -0.11978671699762344 -0.11996724456548691 0.12370620667934418 0.13418009877204895 0.11646998673677444 0.13335290551185608 0.1239873394370079 0.1253563016653061 0.11679435521364212 0.11893481761217117 0.12716637551784515 -0.11093614995479584 -0.11764723807573318 0.10616417229175568 -0.12988556921482086 0.1255774348974228 -0.1331186592578888 -0.06744258105754852 -0.13107788562774658 0.1271011084318161 0.12706579267978668 0.10874016582965851 -0.13254597783088684 -0.1170506551861763 0.13123498857021332 0.11910492926836014 -0.12021469324827194 -0.1284933239221573 0.11668135970830917 0.12881706655025482 0.12147828191518784 -0.08056467026472092 -0.11312665045261383 -0.11808463931083679 -0.11987638473510742 0.11865109205245972 -0.12305207550525665 -0.1092609390616417 0.11891880631446838 0.12303022295236588 -0.14413824677467346 -0.11876267194747925 -0.12814266979694366 -0.13419340550899506 0.1229189783334732 0.10788082331418991 -0.13488458096981049 -0.1281806230545044 -0.11674956232309341 
rt	0.004350678995251656 -0.0022501260973513126 -0.0005059039685875177 -0.003652782179415226 -0.0010287882760167122 0.009054264985024929 -0.0016209795139729977 -0.00674666091799736 -0.0020923856645822525 -0.00029309303499758244 0.0014677862636744976 0.003558285301551223 -0.005594006739556789 0.0015175568405538797 0.0010151725728064775 0.0013316406402736902 0.005421280860900879 -0.004005111753940582 0.0040265885181725025 0.0002678612945601344 -0.004457622300833464 -0.0010531828738749027 0.0034031225368380547 -0.0002349293790757656 0.001804791740141809 0.008190621621906757 0.00785420835018158 -0.008392333053052425 0.010947692207992077 -0.0043698642402887344 0.005096005275845528 0.001974589191377163 0.002603313187137246 -0.0021294078323990107 -0.0020460840314626694 0.0072279395535588264 0.0028281838167458773 0.006347573362290859 -0.00947155337780714 0.0017966895829886198 0.009750012308359146 0.005268116481602192 -0.002495510969310999 0.007359599694609642 -0.0016366837080568075 0.004534742329269648 -0.00017542135901749134 0.005672551691532135 -0.0018499481957405806 0.002732441993430257 0.0009970099199563265 -0.00526093365624547 0.008873309940099716 -0.0028478640597313643 -0.008852177299559116 -0.008133724331855774 0.006046812981367111 -0.004510493483394384 -0.0012831692583858967 0.0033546756021678448 -0.0015393225476145744 -0.004863313399255276 -0.003380807815119624 0.00743411760777235 0.009401443414390087 0.0006226460682228208 0.0027298196218907833 -0.004497017245739698 -0.005511485040187836 0.003633580869063735 0.002723845886066556 -0.0039531271904706955 0.0036301789805293083 0.0022186599671840668 -0.002023615874350071 0.002191516337916255 -0.0016040015034377575 -0.0021653594449162483 -0.003541576210409403 0.004258200526237488 -0.008963041938841343 -0.0040274327620863914 -0.004361731465905905 -0.0014270693063735962 0.0033185759093612432 0.00677717849612236 -0.006962731946259737 0.004798966459929943 -0.0015728377038612962 0.0008973847143352032 0.006920625455677509 -0.0026745181530714035 -0.003025477984920144 0.005874152295291424 0.00616246135905385 -0.004461039789021015 -0.003992874175310135 -0.00863694678992033 0.006261738948523998 -0.001236756332218647 
es	-0.0018205882515758276 -0.002973484108224511 0.003157559782266617 0.0015836665406823158 -0.009874814189970493 0.002833095844835043 0.0020993645302951336 -0.0065416437573730946 -0.00553978281095624 -0.0008898379746824503 0.004490894265472889 -0.0068209473975002766 -0.002551475539803505 0.004192964173853397 -0.001751629402860999 -0.008730257861316204 0.009203983470797539 0.001901623560115695 0.004259023815393448 -0.00475673284381628 0.007305076811462641 -0.004983527585864067 0.004814621526747942 -0.010622397996485233 -0.0021963876206427813 -0.0049643018282949924 0.005342873279005289 -0.0023338086903095245 -0.002441243501380086 0.00266835605725646 0.0012390771880745888 -0.0067871492356061935 -0.001952913124114275 -0.0015463687013834715 -0.0097932368516922 0.004862506873905659 0.009273826144635677 0.002538279863074422 0.0029941906686872244 -0.004046167246997356 0.0007672642823308706 -0.004428802989423275 -0.010458101518452168 -0.0031395750120282173 0.0010899226181209087 0.009041082113981247 0.0032442957162857056 -0.00040641287341713905 0.0018541626632213593 0.0018763409461826086 -0.0008655732963234186 -0.004269290715456009 0.0016802726313471794 -0.00018718652427196503 -0.007723623886704445 -0.005217146128416061 -0.0022635210771113634 0.0007287431508302689 -0.0007596607320010662 -0.0026899317745119333 -0.0035868152044713497 -0.003712157718837261 0.0033560681622475386 -0.0029527402948588133 0.0034977782052010298 -0.004343988373875618 -0.004945567809045315 -0.0023892116732895374 0.004254991188645363 0.0028084954246878624 0.00020094099454581738 0.0034957355819642544 0.0028982465155422688 0.00730050029233098 0.008640604093670845 0.003288862993940711 -0.002001427346840501 -0.0017143927980214357 -0.0006934718694537878 -0.0026846560649573803 -0.010915134102106094 0.00474654883146286 -0.0015551475808024406 0.0008255249704234302 0.0028766931500285864 0.0076293195597827435 -0.0023086704313755035 0.001191769726574421 0.0042260331101715565 -0.0010145693086087704 0.002137832110747695 0.0024429387412965298 0.00484834797680378 0.005709309596568346 0.00956115685403347 0.0023406962864100933 -0.002314533106982708 0.0015049726935103536 0.00252928608097136 0.000559249660000205 
der	-0.0016533192247152328 -0.003892716020345688 0.0005470707546919584 -0.004430328030139208 -0.001555125112645328 0.0063109626062214375 -0.0008900114335119724 -0.003961915150284767 -0.005135329440236092 0.0002401638776063919 0.001981115899980068 -0.0010658144019544125 -0.002691797912120819 -0.006891908589750528 0.007017623633146286 -0.0037965571973472834 -0.000137274619191885 0.001129303127527237 0.0030372135806828737 0.00105951726436615 -0.007951689884066582 -0.0010844962671399117 0.001682644011452794 -0.0034054461866617203 0.0006462926976382732 0.002323671244084835 0.0005010562017560005 -0.0016818803269416094 -0.003693636506795883 0.00302333221770823 0.00654995534569025 0.004472655709832907 0.007136238273233175 0.001036972040310502 -0.006205244455486536 0.0009756924118846655 -0.004993306938558817 -0.0022372601088136435 -0.0052007045596838 -0.006373274605721235 -0.003104251576587558 -0.0010943594388663769 -0.00048789987340569496 0.007691218517720699 -0.00018611527048051357 0.00636328337714076 0.0015208302065730095 0.004064660985022783 -0.006387164816260338 0.00244789756834507 0.0010840129107236862 -0.007636489812284708 -0.00623795110732317 -0.001975801307708025 0.002592527773231268 -0.006378011777997017 5.72174321860075e-05 -0.0013504113303497434 0.0005493538919836283 -0.004817669745534658 -0.0065311528742313385 -0.0018527593929320574 -0.0003025180194526911 0.006240767892450094 0.0007283622398972511 0.007411119062453508 -0.006801175884902477 -0.0002835236955434084 -0.004084691870957613 0.007806019391864538 0.004789071623235941 0.006324730813503265 -0.00013127457350492477 -0.003496842924505472 -0.002862160326912999 -0.004915187135338783 -0.004991178400814533 0.0012962246546521783 -0.0020380020141601562 0.000754480017349124 -0.0029475316405296326 -0.004656480625271797 -0.0027494365349411964 0.006330129690468311 0.0006292040925472975 0.0054052118211984634 -0.006576336454600096 0.006645342335104942 -0.006776696071028709 0.00487716868519783 -0.002728324383497238 0.0006926360074430704 0.0013948561390861869 -0.0053292145021259785 0.002582336775958538 0.0005492041818797588 -0.006897340528666973 -0.003054350847378373 -0.0012645090464502573 -0.000218650558963418 
das	-0.0037687611766159534 -0.004316383041441441 -0.0021850152406841516 0.0032594536896795034 -0.004751571454107761 -0.0004023131914436817 -0.0014823933597654104 -0.002060906495898962 -0.002592384349554777 -0.007880071178078651 -0.0013512379955500364 -0.001758970320224762 -0.004605223424732685 0.0007607827428728342 0.0016559171490371227 -0.005781209096312523 -0.0010392628610134125 -5.759531632065773e-06 0.0052263168618083 -0.006585078779608011 -0.0018325201235711575 -0.002126573119312525 -0.0019822553731501102 -0.003757668426260352 0.004128391854465008 0.003948698285967112 0.00687200203537941 -0.0012822956778109074 -0.0010089499410241842 -0.003013968700543046 0.0008611411321908236 -0.00270555866882205 0.0033456929959356785 0.0031738895922899246 -0.0055686295963823795 0.0063355909660458565 0.0010314281098544598 -0.0016232989728450775 -4.371395334601402e-05 0.00491718202829361 0.0024544144980609417 0.0029921026434749365 -0.004803283605724573 0.0038444192614406347 0.0008780385833233595 -0.0006374313961714506 3.4792814403772354e-05 9.653810411691666e-05 -0.007852388545870781 0.006624381989240646 -0.004004173446446657 -0.001938429195433855 0.002533131977543235 -0.0012177838943898678 -0.0007514967583119869 -0.005446700379252434 -0.0007661725394427776 -0.0012613461585715413 -0.0013712968211621046 -0.0014902767725288868 -0.007867429405450821 -0.005960502661764622 0.004726032726466656 -0.0015997474547475576 0.001194600947201252 0.003229876747354865 0.000946875661611557 -0.0007451435085386038 0.00014115427620708942 0.00585299963131547 0.004221893846988678 -0.0024413797073066235 0.004569652024656534 0.0012282453244552016 -0.0013345594052225351 -0.0013929978013038635 -0.0015226826071739197 -5.5332668125629425e-05 -0.003523750463500619 0.0029864581301808357 -0.006431005895137787 -0.0046398211270570755 0.002424567239359021 0.0037107462994754314 -0.0011832485906779766 0.008091159164905548 -0.0041169398464262486 0.006717894226312637 0.002248167060315609 0.0012420418206602335 -0.0013082630466669798 0.0003719369415193796 0.003398272907361388 -0.006506871432065964 0.005256168078631163 -0.0006111613474786282 -0.00043584778904914856 -4.741945303976536e-05 0.001658543013036251 0.0022055215667933226 
die	0.005862850695848465 -0.0071579571813344955 -0.002003560308367014 0.0010385534260421991 0.0009757995139807463 0.005743479356169701 -0.0004751831293106079 -0.004422392696142197 -0.0005570801440626383 -0.0014713385608047247 0.0014597901608794928 0.0042746951803565025 -0.006522764917463064 -0.0030698124319314957 0.001440139370970428 -0.001986220944672823 0.005911914631724358 -0.002937796525657177 0.0008683749474585056 -0.002702664816752076 -0.0020699873566627502 -0.006689620669931173 0.007237788289785385 -0.007587149739265442 -0.00011178338900208473 0.0008120017591863871 0.0006922578904777765 1.7705373466014862e-05 0.0015554821584373713 0.003990954253822565 0.00442830566316843 0.004822446033358574 0.006936243735253811 -0.002944735111668706 -0.0022914879955351353 0.0025391140952706337 -0.007086898200213909 -0.0010799858719110489 -0.0017757243476808071 0.0005831499584019184 0.00027589057572185993 0.0030452285427600145 0.0017637237906455994 0.0035863667726516724 -0.0010915817692875862 0.002724987454712391 -0.004836847074329853 0.005080012138932943 0.0009076930582523346 0.006490947678685188 0.0005994040984660387 -0.0025951138231903315 -5.9595098719000816e-05 -0.006342499516904354 0.0036117222625762224 0.0011597324628382921 0.005999033339321613 -0.0032131639309227467 -0.0013942638179287314 -0.007421543356031179 -0.0016653460916131735 -0.0009751906618475914 -0.00583445280790329 0.0027122260071337223 0.0036679108161479235 0.0014854393666610122 -0.005194317549467087 -0.00014809239655733109 0.0010658800601959229 0.0068096574395895 -0.0014487330336123705 -0.0010752819944173098 0.007694563828408718 -0.003959518391638994 -0.003723781555891037 0.0004480774514377117 -0.0016556677874177694 0.0020036636851727962 0.0002846366260200739 -0.0017264250200241804 -0.007474750280380249 -0.006177574396133423 -0.00554597657173872 0.0008042750414460897 -0.0009509092196822166 0.0046254307962954044 -0.0026513775810599327 0.004316763021051884 -0.0076109012588858604 0.00644808541983366 -0.004591527860611677 0.0072848005220294 -0.00032285554334521294 -0.003913669381290674 0.005367345176637173 -0.000705154612660408 -7.484061643481255e-05 -0.006376373581588268 0.007540580816566944 -0.001268788706511259 
.....	0.010121309198439121 -0.023174863308668137 -0.008978022262454033 -0.04492224380373955 -0.012766525149345398 0.0072840237990021706 -0.022244451567530632 0.0007969201542437077 0.00015723961405456066 0.03503967076539993 0.024190904572606087 0.021345296874642372 0.0024171217810362577 -0.007879795506596565 0.2809004783630371 0.00046888156794011593 0.0005156181287020445 0.008145945146679878 0.0055027310736477375 -0.011710694059729576 -0.0006223919335752726 -0.0007657241076231003 -0.008432256057858467 -0.0003316889051347971 -0.02879810892045498 -0.017742974683642387 0.0019215613137930632 0.0008149603381752968 -0.0037379192654043436 0.0018586399964988232 0.0031928273383527994 -0.009146582335233688 0.028295263648033142 -0.004196238704025745 0.004167650826275349 -3.542238846421242e-05 0.004540628287941217 -0.04072858393192291 0.029012179002165794 -0.003533021779730916 -0.0014390258584171534 0.010817069560289383 0.00036914506927132607 -0.008485831320285797 0.0027083333116024733 -0.003768372582271695 -0.006764693185687065 -0.0049189236015081406 0.006389985326677561 0.010720623657107353 -0.027551716193556786 0.02073807269334793 0.00929727591574192 0.002530093304812908 0.004779506474733353 0.005368771031498909 -0.02155454084277153 0.0024973179679363966 -0.03767668083310127 -0.0045717391185462475 0.0010991001036018133 -0.00879813265055418 0.009785134345293045 0.0006900459993630648 -0.0026036042254418135 0.008634038269519806 -0.02859916351735592 0.01256319135427475 -0.018604429438710213 -0.0011087702587246895 -0.07024320960044861 -0.010536551475524902 -0.27929258346557617 0.0016896764282137156 -0.006454589776694775 -0.007120687514543533 -0.04732801765203476 0.01208161748945713 0.0259572584182024 -0.025689613074064255 0.0039866166189312935 0.004671128001064062 -0.009652003645896912 -0.0029517048969864845 0.00869828276336193 0.008638886734843254 -0.009454996325075626 0.008215387351810932 0.003993645776063204 0.000886288471519947 -0.006351536139845848 0.027389926835894585 0.004798519425094128 -0.003971947822719812 -0.0023128781467676163 -0.0032909021247178316 -0.006603164132684469 0.005547522567212582 0.008678421378135681 0.00798189640045166 
in	0.003010236658155918 0.003961565904319286 -0.003961416892707348 0.001958739012479782 -0.002178166527301073 0.008021868765354156 -0.003776299301534891 -0.008135141804814339 -0.008182883262634277 0.00219213985837996 0.0008572412189096212 0.0003789390902966261 -0.0013769300421699882 -0.002766603836789727 0.002163020893931389 -0.010705951601266861 0.0019897802267223597 -0.004831038415431976 0.0048936824314296246 -0.010130535811185837 -0.001648330595344305 -0.004992776550352573 0.010337509214878082 -0.0022850811947137117 0.0031606548000127077 -0.0014469915768131614 0.008538629859685898 -0.0038014452438801527 0.007692534010857344 -0.0023740658070892096 0.004621271044015884 -0.007166586816310883 -0.0034783296287059784 -0.009832742623984814 -0.004760150797665119 0.011048447340726852 0.004566570743918419 0.0007711353246122599 0.00014037941582500935 0.0035567586310207844 0.008827823214232922 0.0012638414045795798 -0.002890609437599778 0.008805622346699238 3.6642886698246e-05 0.0030744546093046665 -0.002427053404971957 0.0023157824762165546 -0.004281799774616957 -0.002630488947033882 0.002661909442394972 -0.0009292301256209612 0.006046457216143608 -0.008210570551455021 -0.0013807227369397879 -0.0054648625664412975 0.008041524328291416 -0.006399098318070173 0.0024527516216039658 0.0026054333429783583 -0.0039474694058299065 -0.0072425175458192825 -0.001257068943232298 0.007597265299409628 0.010502551682293415 -0.003478234400972724 0.002542939968407154 -0.004399322438985109 -0.0039017628878355026 -0.0013833129778504372 -0.0016897042514756322 0.0002540629357099533 0.0024623991921544075 0.0035926681011915207 -0.0014740430051460862 -0.0010595014318823814 0.0009582813363522291 -0.0008940079715102911 0.002044007182121277 -0.0024794694036245346 -0.003216416807845235 -0.0036359752994030714 -0.0032394002191722393 0.0030766394920647144 0.007400505244731903 0.00173896923661232 -0.0009989487007260323 0.005209124181419611 -0.007440594956278801 0.003932273015379906 0.0045205214992165565 -0.002022287342697382 -0.0014281822368502617 0.0010060418862849474 0.0013575940392911434 0.0058860620483756065 0.0018202380742877722 -0.003920895047485828 -0.0038835599552839994 0.0034404813777655363 
schon	-0.004738248884677887 -0.0018164572538807988 -0.006141945719718933 0.0016415022546425462 -0.004477620590478182 0.0057537732645869255 -0.007305849343538284 -0.006530837155878544 -0.004520700313150883 -0.002756136003881693 0.007870888337492943 -0.0009998632594943047 -0.005164925940334797 -0.002924535423517227 -0.006973410956561565 -0.003856765339151025 0.0011092403437942266 -0.002117855940014124 -0.001794066047295928 -0.004555085673928261 -0.0012996229343116283 -0.00239692279137671 0.0016624268610030413 -0.00025202916003763676 0.005483865737915039 0.005057208240032196 0.0003205742686986923 0.0008513093926012516 -0.000855869147926569 -0.00035212282091379166 0.001695094397291541 0.0017867283895611763 0.0015629708068445325 -0.0018378805834800005 -0.0030996690038591623 0.0034578926861286163 0.0005081461276859045 -0.0006304001435637474 0.0006421955768018961 -0.00038849213160574436 -0.0018162962514907122 -0.0002707487437874079 0.0016858477611094713 0.006936521269381046 -0.0067687444388866425 0.007013298571109772 -0.006396501325070858 0.001947497483342886 -0.005744090769439936 6.023002788424492e-05 -0.005832251626998186 -0.005605483427643776 0.0007392787374556065 0.0002662858460098505 0.0018214385490864515 -0.006126015447080135 0.007389180362224579 -0.0053174616768956184 -0.0009282133542001247 -0.005139446351677179 -0.0016793532995507121 -0.0028026471845805645 -0.00107280514203012 0.0052640861831605434 -0.002695562085136771 0.005726824980229139 5.450495518743992e-05 0.001792687689885497 -0.007351323962211609 0.002562643028795719 -0.0005747370887547731 0.001401321729645133 0.005652320571243763 -0.00022249436005949974 -0.004910035990178585 -0.006633110344409943 -0.003589974483475089 0.00719727948307991 -0.00201388169080019 0.0022951457649469376 -0.003988190088421106 -0.001593434251844883 0.008102376013994217 0.006954601034522057 0.007798843085765839 0.0010927629191428423 -0.0025685483124107122 0.00618368573486805 0.0050066797994077206 0.0012827049940824509 0.005101068876683712 0.000403095968067646 0.007027897052466869 -0.0006240576039999723 0.005015084985643625 0.007862793281674385 -0.0016724402084946632 -0.005212198011577129 0.004271661397069693 0.0016193431802093983 
:d	-0.0020627670455724 -0.005413705948740244 -0.0029713078401982784 0.004051675088703632 0.003135688602924347 0.0017845198744907975 -0.0042025428265333176 -0.0025816073175519705 -0.011297110468149185 -0.0020587239414453506 -0.0004827736411243677 0.004076362121850252 -0.001780047663487494 -0.0023992201313376427 0.004648631438612938 -0.0015333651099354029 0.0011719681788235903 -0.0025044085923582315 0.002780911745503545 -0.010120917111635208 0.0010222317650914192 -0.008264493197202682 0.0006571514531970024 -0.010512866079807281 0.0042510321363806725 -0.004117701202630997 0.007553958334028721 -0.00972831528633833 0.0024689401034265757 0.003710088087245822 -0.004746340215206146 0.00029417010955512524 0.0013382862089201808 -0.0026088999584317207 -0.0039026057347655296 -0.003253920702263713 0.0068970127031207085 0.004474406596273184 -0.00330234388820827 -0.004132048226892948 -0.004276827443391085 0.004482944495975971 -0.0012562582269310951 0.0019049576949328184 0.0033874076325446367 0.01067072432488203 -0.0005210444796830416 -7.213419303297997e-05 0.0008999265264719725 0.001015960006043315 -0.003029391635209322 -0.0003323692362755537 -0.00037558842450380325 -0.003264029510319233 0.0006386460736393929 -0.00274099363014102 -0.002539644716307521 0.003943079151213169 -0.0036447562742978334 -0.004676876589655876 0.0064822714775800705 -0.006103930063545704 0.002331853611394763 -0.001378244487568736 -0.0009217085316777229 -0.0013205308932811022 0.0018984682392328978 -0.0004697851836681366 -0.005857556127011776 0.00409928010776639 0.0037406058982014656 0.0012712113093584776 0.0033040933776646852 -0.0009923791512846947 0.0004988763248547912 -0.00011052843183279037 -0.009471519850194454 0.004319075495004654 -0.003500820603221655 -0.009933238849043846 -0.002630064496770501 -0.004944426938891411 -0.009456988424062729 -0.006114961579442024 0.0026385027449578047 0.009978825226426125 -0.004400010220706463 0.0016777303535491228 -0.0019130338914692402 0.008540434762835503 0.002805012743920088 -0.00015392457135021687 0.003482882399111986 -0.0012991714756935835 0.005626802332699299 -0.0029545489232987165 -0.0037702000699937344 -0.003137547755613923 0.0034551341086626053 0.0022844146005809307 
