17 100
<unk>	0.02088606171309948 0.025464223697781563 -0.023023488000035286 -0.023942574858665466 -0.027645975351333618 0.03513717278838158 -0.03139442205429077 0.019205298274755478 0.02795727364718914 0.027240216732025146 -0.028662126511335373 0.030135851353406906 -0.029075857251882553 -0.028754498809576035 -0.018517283722758293 0.025398297235369682 0.023388752713799477 0.02349255420267582 -0.028039559721946716 0.026949787512421608 -0.02748340740799904 0.00855447631329298 -0.033800892531871796 0.02905498631298542 0.03138053044676781 -0.030109072104096413 0.020647119730710983 0.024218104779720306 0.023049909621477127 0.03350603207945824 0.025663036853075027 0.020133012905716896 0.025522297248244286 -0.027885666117072105 -0.029336202889680862 0.029355419799685478 -0.013350977562367916 0.02956964261829853 -0.02900467813014984 -0.031812384724617004 -0.02882077544927597 0.032070666551589966 -0.02253064513206482 0.025956731289625168 -0.023867666721343994 -0.027371030300855637 0.03226235508918762 0.03164931386709213 -0.0328981913626194 0.023611770942807198 -0.025107912719249725 -0.029784321784973145 0.016377665102481842 0.028815584257245064 0.013948274776339531 0.014028294011950493 0.027569998055696487 0.029666842892766 0.028281787410378456 0.029270848259329796 -0.012623414397239685 0.0185776986181736 -0.0295681431889534 -0.02751561440527439 0.027029260993003845 -0.028776612132787704 -0.02979280613362789 0.031554292887449265 -0.026090499013662338 0.01721576601266861 -0.02359062246978283 -0.036651309579610825 0.0359734371304512 -0.023995576426386833 0.02937868796288967 0.02850889042019844 0.0330081582069397 0.03180345520377159 -0.03443039581179619 0.028519282117486 -0.020070666447281837 0.03688345476984978 -0.037852730602025986 -0.01939283311367035 -0.03549252822995186 -0.026988118886947632 0.01820203848183155 0.03019280545413494 -0.022366872057318687 -0.03605770319700241 -0.016021722927689552 -0.0208432599902153 0.021506229415535927 0.034783244132995605 -0.02742408588528633 -0.020717348903417587 0.02338552474975586 -0.02914261817932129 -0.03351043537259102 0.009149656631052494 
rt	-0.004693069960922003 0.00044788862578570843 0.004774870350956917 0.003991484642028809 -0.002123702084645629 -0.004906879737973213 0.004243968054652214 0.00042915320955216885 -0.0031191385351121426 -0.005713944789022207 0.003252328373491764 -0.004360591527074575 0.00018169707618653774 0.0029332032427191734 0.003620178671553731 -0.00011170141806360334 -0.008105493150651455 -0.005197726655751467 0.004442195873707533 -0.009284917265176773 0.004834264051169157 0.011262770742177963 -0.0005576504045166075 -0.008632957004010677 -0.006061832420527935 0.0033689099363982677 -0.001933921710588038 -0.003590627573430538 -0.004697980359196663 -0.00501222861930728 0.0002499646507203579 -0.005972852930426598 -0.005938092712312937 0.0017527787713333964 0.0019375456031411886 -0.0005959927220828831 -0.0005080720293335617 -0.004035105928778648 0.0019152791937813163 0.0004298851708881557 0.005794692784547806 -0.0033907052129507065 0.0040602548979222775 -0.00437823636457324 0.006795300170779228 0.008989883586764336 -0.005763091612607241 -0.00038172071799635887 0.0050541702657938 -0.004619494080543518 0.0027139070443809032 0.004182793665677309 -0.00199323077686131 -0.009633940644562244 0.0015003476291894913 0.00645020417869091 -0.0022844932973384857 -0.0036916560493409634 -0.005200408864766359 -0.0036108200438320637 0.006085705012083054 -0.003232077695429325 0.0006173931760713458 0.0017357886536046863 -0.007836932316422462 0.0028549626003950834 0.00852777436375618 -0.004161931108683348 -0.0002551702782511711 0.0015335548669099808 0.004197554662823677 0.006821935065090656 -0.0003114939318038523 0.006219855044037104 -0.0029028323478996754 -0.00456326175481081 -0.003296789014711976 -0.006560125853866339 4.09801141358912e-05 -0.006776753813028336 0.00677142757922411 -0.002947343746200204 0.0038353907875716686 0.0035304399207234383 0.006964245345443487 0.006341398227959871 -0.002909152302891016 0.0007113827159628272 -0.004721744917333126 0.0012493501417338848 -0.001579943811520934 0.00681084580719471 -0.002940029138699174 0.0013608405133709311 0.0004808381199836731 0.002453103894367814 -0.004371361341327429 0.008656620979309082 0.007525223772972822 0.012873852625489235 
es	0.013560058549046516 0.013031408190727234 -0.0056059956550598145 -0.005083149764686823 -0.006963600870221853 0.02519182488322258 -0.014454999938607216 0.017694886773824692 0.019880395382642746 0.013720857910811901 -0.001487227389588952 0.02450689487159252 -0.01935502141714096 -0.018516801297664642 0.0010447872336953878 0.0037047737278044224 0.01654004119336605 0.019165314733982086 -0.013616901822388172 0.010863634757697582 -0.022374246269464493 0.015984613448381424 -0.008649332448840141 0.01800130121409893 0.02178753726184368 -0.005836882628500462 0.017677782103419304 -0.0007935775211080909 0.01866956613957882 0.01161478366702795 0.016724465414881706 0.02594810351729393 0.018021274358034134 -0.010371476411819458 -0.017248114570975304 0.008301733061671257 -0.009347500279545784 0.014855842106044292 -0.01185822207480669 -0.011746587231755257 -0.011262842454016209 0.01107429713010788 -0.0076079522259533405 -0.0009282048558816314 -0.02570042759180069 -0.014364241622388363 0.019337860867381096 0.02411608397960663 -0.008467836305499077 0.005096099339425564 -0.0035904052201658487 -0.0074800169095396996 0.024348851293325424 0.017372768372297287 0.0007005767547525465 0.013794912956655025 0.0032496838830411434 0.016577115282416344 0.015338851138949394 0.00023148667241912335 -0.0168363805860281 0.017784450203180313 -0.025941146537661552 -0.0002698610769584775 0.01710362546145916 -0.017054136842489243 -0.018271829932928085 0.010269101709127426 -0.013115685433149338 0.0046992371790111065 -0.0161252673715353 -0.024979738518595695 0.00868217647075653 -0.014852389693260193 0.004850746598094702 0.015873057767748833 0.015226930379867554 0.017051463946700096 -0.00907728262245655 0.01563955284655094 -0.015888983383774757 0.023427652195096016 -0.013289262540638447 0.0015979857416823506 -0.006896040868014097 -0.01761244423687458 -0.0012057588901370764 0.010548816062510014 -0.004744422622025013 -0.009049894288182259 -0.016327302902936935 -0.014836113899946213 0.014243613928556442 0.008871214464306831 -0.01681920886039734 0.002727288054302335 0.015680424869060516 -0.015688836574554443 -0.01997281424701214 0.015729544684290886 
der	0.017957653850317 0.015843525528907776 -0.017618324607610703 -0.019999057054519653 -0.018471023067831993 0.00821206159889698 -0.017934327945113182 0.007071545347571373 0.015205873176455498 0.008110934868454933 -0.017499370500445366 0.006653040647506714 -0.01599010080099106 -0.01901889033615589 -0.0202595554292202 0.011225258931517601 0.02017500065267086 0.006397992372512817 -0.015298992395401001 0.01066845003515482 -0.01768985204398632 0.004177512135356665 -0.016721952706575394 0.014687779359519482 0.008305457420647144 -0.017309095710515976 0.0070566339418292046 0.017860235646367073 0.00476258248090744 0.016958625987172127 0.00934574194252491 0.004973145201802254 0.009975438006222248 -0.015747062861919403 -0.015516682527959347 0.01848137378692627 -0.015745412558317184 0.009490487165749073 -0.01840808242559433 -0.017565565183758736 -0.016781186684966087 0.018572481349110603 -0.01790660247206688 0.018830344080924988 -0.005604220554232597 -0.021947097033262253 0.013845446519553661 0.008162148296833038 -0.01145695149898529 0.009621113538742065 -0.018720893189311028 -0.017951177433133125 0.009838644415140152 0.00849946029484272 0.016627298668026924 0.0013559344224631786 0.01871367171406746 0.01516541838645935 0.014888891018927097 0.0195469930768013 -0.008339054882526398 0.00835990346968174 -0.004812868312001228 -0.016929809004068375 0.02107412740588188 -0.01671229675412178 -0.008679626509547234 0.017884541302919388 -0.015918398275971413 0.014321991242468357 -0.015918990597128868 -0.007201846688985825 0.01811561919748783 -0.010844252072274685 0.01782730408012867 0.015307261608541012 0.014828553423285484 0.015905139967799187 -0.018030518665909767 0.009899486787617207 -0.019099494442343712 0.014022521674633026 -0.01567576453089714 -0.020173193886876106 -0.018579920753836632 -0.006289244629442692 0.01678416319191456 0.017238866537809372 -0.017133230343461037 -0.01860554702579975 -0.017001120373606682 -0.010919546708464622 0.011637324467301369 0.01820957288146019 -0.003200349397957325 -0.010027395561337471 0.00762576051056385 -0.010803967714309692 -0.009306633844971657 0.003198521211743355 
das	0.029185621067881584 0.017215117812156677 -0.02421879954636097 -0.032981809228658676 -0.024695785716176033 0.01253471989184618 -0.019445376470685005 0.018969165161252022 0.01239660382270813 0.022429712116718292 -0.01844474859535694 0.006268666125833988 -0.01919197477400303 -0.033746138215065 -0.028562843799591064 0.029247216880321503 0.030177835375070572 0.0010877095628529787 -0.017983214929699898 0.02056906558573246 -0.022200483828783035 -0.00018791155889630318 -0.015245186164975166 0.010376189835369587 0.008289024233818054 -0.026245160028338432 0.019043508917093277 0.024648897349834442 0.02046428993344307 0.01855199597775936 0.020609701052308083 0.016382519155740738 0.020627276971936226 -0.011510918848216534 -0.014877967536449432 0.021103933453559875 -0.027476318180561066 0.025969499722123146 -0.015701688826084137 -0.01870439387857914 -0.013568639755249023 0.026572206988930702 -0.02911500632762909 0.028730317950248718 -0.018815619871020317 -0.02134578488767147 0.005461839027702808 0.015188297256827354 -0.030643213540315628 0.025543881580233574 -0.030814742669463158 -0.02659071981906891 0.02890782430768013 0.024059809744358063 0.019095540046691895 -0.006361819803714752 0.032373763620853424 0.013579089194536209 0.012062648311257362 0.03489500284194946 -0.03572997450828552 0.02821987122297287 -0.013946275226771832 -0.01883052848279476 0.031246688216924667 -0.020868651568889618 -0.022636132314801216 0.018131036311388016 -0.01567663811147213 0.006728543899953365 -0.024016443639993668 -0.008896486833691597 0.02006920427083969 -0.032401978969573975 0.022163908928632736 0.02120119147002697 0.019183719530701637 0.010235588997602463 -0.019287265837192535 0.032528795301914215 -0.02923942171037197 0.011596525087952614 -0.016050001606345177 -0.031127218157052994 -0.02019418776035309 -0.009024695493280888 0.020532989874482155 0.026633087545633316 -0.025603972375392914 -0.020876405760645866 -0.01673814468085766 -0.02393563836812973 0.00016813934780657291 0.021579893305897713 -0.011530731804668903 -0.02740982174873352 0.02402576245367527 -0.02440180629491806 -0.011966037563979626 0.0029027306009083986 
die	0.003290729131549597 0.007712582126259804 -0.015821583569049835 -0.012060311622917652 -0.01466111745685339 0.01663339138031006 -0.016399353742599487 0.010570486076176167 0.00553424097597599 0.016385048627853394 -0.021155841648578644 0.012752760201692581 -0.01575249619781971 -0.015245437622070312 -0.01582236774265766 0.01740477792918682 0.006618744693696499 0.019471189007163048 -0.015793872997164726 0.01593215949833393 -0.012923767790198326 0.01704794354736805 -0.021648351103067398 0.011623004451394081 0.017717408016324043 -0.015106317587196827 0.011295277625322342 0.020587632432579994 0.01487122941762209 0.016205864027142525 0.01716134138405323 0.013620427809655666 0.014881080947816372 -0.012100564315915108 -0.0053955442272126675 0.02072027698159218 -0.0072631933726370335 0.014375517144799232 -0.016947906464338303 -0.015104458667337894 -0.021692942827939987 0.020369911566376686 -0.0185590498149395 0.015359722077846527 -0.013373059220612049 -0.005024326033890247 0.011974496766924858 0.01058807410299778 -0.017382685095071793 0.016886204481124878 -0.011867419816553593 -0.02037336677312851 0.009519473649561405 0.016993209719657898 0.01291015837341547 0.018113600090146065 0.01617322489619255 0.010977695696055889 0.018432704731822014 0.014400769025087357 -0.014841622672975063 0.009646369144320488 -0.016398372128605843 -0.01342702005058527 0.01844276487827301 -0.017088020220398903 -0.017606982961297035 0.019633807241916656 -0.010728677734732628 0.016558188945055008 -0.009157560765743256 -0.016852859407663345 0.020848752930760384 -0.016835639253258705 0.014973890036344528 0.016696061939001083 0.018087176606059074 0.014242662116885185 -0.015702413395047188 0.01612049713730812 -0.008871191181242466 0.01617472805082798 -0.015691297128796577 -0.014229114167392254 -0.011414778418838978 -0.017929106950759888 0.01409898977726698 0.013159452006220818 -0.013948122970759869 -0.022164564579725266 -0.009788144379854202 -0.01034554187208414 0.014068731106817722 0.016720907762646675 -0.014526584185659885 -0.01713882014155388 0.0159765612334013 -0.018079541623592377 -0.017293991521000862 0.007954275235533714 
.....	-0.019904959946870804 -0.01834879070520401 0.01658823899924755 0.014448593370616436 0.009226043708622456 -0.014550473541021347 0.017678769305348396 -0.015557050704956055 -0.00872458890080452 -0.014607004821300507 0.010067829862236977 -0.009606067091226578 0.013906585983932018 0.016883470118045807 0.0063242558389902115 -0.01115052867680788 -0.01816098764538765 -0.009257838129997253 0.014444541186094284 -0.017127038910984993 0.016765719279646873 0.02342033013701439 0.01333780586719513 -0.014249968342483044 -0.013034449890255928 0.018673822283744812 -0.010823238641023636 -0.010640127584338188 -0.016892654821276665 -0.018040146678686142 -0.01646195910871029 -0.021692872047424316 -0.016433944925665855 0.004933985415846109 0.017444811761379242 -0.008031253702938557 -0.0018505374900996685 -0.00794608611613512 0.013287240639328957 0.015047214925289154 0.008936646394431591 -0.018527641892433167 0.014587498269975185 -0.01609966903924942 0.017664838582277298 0.016171585768461227 -0.009736484847962856 -0.01602831855416298 0.017650432884693146 -0.01981663703918457 0.015961021184921265 0.013897270895540714 -0.015189249068498611 -0.01840539649128914 0.0028392255771905184 0.002946436870843172 -0.013863420113921165 -0.013762137852609158 -0.015152362175285816 -0.014684053137898445 0.01865646429359913 -0.020315557718276978 0.01854299195110798 0.004965728148818016 -0.014250775799155235 0.014956406317651272 0.016965681686997414 -0.014423429034650326 0.014299274422228336 0.010983054526150227 0.019170185551047325 0.016959866508841515 -0.009832816198468208 0.014648161828517914 -0.014654191210865974 -0.014821448363363743 -0.015986688435077667 -0.007242980878800154 0.011189584620296955 -0.01667007803916931 0.016591612249612808 -0.01608489826321602 0.01670907996594906 0.008947459980845451 0.00913380365818739 0.012569238431751728 -0.008181186392903328 -0.014543878845870495 0.003323142882436514 0.012026084586977959 -0.008315530605614185 0.013536494225263596 0.0007315941620618105 -0.010784149169921875 0.01832985319197178 0.013654636219143867 -0.008932485245168209 0.010299243032932281 0.017112702131271362 0.0013703397708013654 
in	0.021592499688267708 0.02686995640397072 -0.021295586600899696 -0.01976422592997551 -0.027458909898996353 0.023944564163684845 -0.02262106165289879 0.027224576100707054 0.02824627235531807 0.02293442375957966 -0.023070896044373512 0.0258625540882349 -0.024865033105015755 -0.02469002455472946 -0.02010473608970642 0.027045059949159622 0.018109817057847977 0.03258376196026802 -0.022492794319987297 0.024140266701579094 -0.02170564979314804 0.013375160284340382 -0.025562293827533722 0.02404620498418808 0.031750623136758804 -0.026578884571790695 0.026861313730478287 0.022609179839491844 0.02437591180205345 0.0223342664539814 0.028265854343771935 0.017289889976382256 0.022594528272747993 -0.026947863399982452 -0.024713950231671333 0.022359248250722885 -0.022418629378080368 0.020985381677746773 -0.02662421390414238 -0.02411392144858837 -0.029528262093663216 0.021875320002436638 -0.020045269280672073 0.02269122004508972 -0.01610524393618107 -0.026058899238705635 0.03320867195725441 0.02810193970799446 -0.02622668258845806 0.025529686361551285 -0.024155497550964355 -0.020669547840952873 0.02469061315059662 0.026068218052387238 0.023026861250400543 0.037398915737867355 0.024940289556980133 0.024870628491044044 0.024502020329236984 0.021003521978855133 -0.02120373770594597 0.02557966858148575 -0.028860239312052727 -0.023294080048799515 0.019736338406801224 -0.023547833785414696 -0.02744874730706215 0.019022159278392792 -0.025384003296494484 0.02891170233488083 -0.024807166308164597 -0.027429664507508278 0.0228374432772398 -0.021403884515166283 0.023273324593901634 0.023434385657310486 0.02544463612139225 0.03089279681444168 -0.025070274248719215 0.020611057057976723 -0.020213641226291656 0.024875065311789513 -0.024666624143719673 -0.019590457901358604 -0.02509761042892933 -0.030561506748199463 0.022670894861221313 0.025597436353564262 -0.02540181204676628 -0.02482062578201294 -0.019008252769708633 -0.02431696094572544 0.03453435003757477 0.024197837337851524 -0.024447103962302208 -0.023997746407985687 0.020333008840680122 -0.02370239794254303 -0.029471825808286667 0.013111877255141735 
schon	0.025581348687410355 0.026978060603141785 -0.03194144740700722 -0.017420118674635887 -0.03339773789048195 0.021625781431794167 -0.032804202288389206 0.023701218888163567 0.017252560704946518 0.01766606979072094 -0.01730327121913433 0.01986737921833992 -0.025274118408560753 -0.027660701423883438 -0.021988732740283012 0.021249305456876755 0.020066678524017334 0.017552576959133148 -0.0184019785374403 0.03336716443300247 -0.02807355858385563 0.02290685474872589 -0.015348551794886589 0.02322574146091938 0.019946636632084846 -0.030758528038859367 0.015557829290628433 0.013908056542277336 0.02460656873881817 0.02239982970058918 0.020204167813062668 0.023997962474822998 0.02709614299237728 -0.013254450634121895 -0.025005878880620003 0.025042995810508728 -0.010845123790204525 0.021734103560447693 -0.021616175770759583 -0.021415669471025467 -0.012473047710955143 0.020781001076102257 -0.02220296300947666 0.014490365982055664 -0.02504897676408291 -0.0315295085310936 0.016641611233353615 0.027291402220726013 -0.025469796732068062 0.023063039407134056 -0.030727569013834 -0.029747357591986656 0.02471548691391945 0.02687276154756546 0.020503675565123558 0.013415409252047539 0.019639823585748672 0.01981019787490368 0.01677931286394596 0.014579263515770435 -0.026987148448824883 0.018000373616814613 -0.021990954875946045 -0.011706174351274967 0.025997329503297806 -0.02136957459151745 -0.026933811604976654 0.024642406031489372 -0.013148791156709194 0.012794924899935722 -0.02851184830069542 -0.01645737513899803 0.024090316146612167 -0.027119481936097145 0.018393075093626976 0.030996477231383324 0.018875425681471825 0.017901454120874405 -0.019105078652501106 0.020991599187254906 -0.03169518709182739 0.026867352426052094 -0.023955320939421654 -0.015811407938599586 -0.01928088441491127 -0.015110422857105732 0.01932927407324314 0.0187944695353508 -0.028144851326942444 -0.023991068825125694 -0.02883565053343773 -0.02752821333706379 0.016045112162828445 0.025518670678138733 -0.012470291927456856 -0.01855437643826008 0.018518226221203804 -0.026664577424526215 -0.023578617721796036 0.007137017324566841 
:d	0.025832688435912132 0.023925554007291794 -0.02611609175801277 -0.020625604316592216 -0.02575897052884102 0.026909135282039642 -0.027852993458509445 0.025519242510199547 0.029922742396593094 0.024797413498163223 -0.015696071088314056 0.030607163906097412 -0.03165004402399063 -0.02824178896844387 -0.021013407036662102 0.02289752848446369 0.02193133905529976 0.022340726107358932 -0.024986065924167633 0.026657624170184135 -0.02740658074617386 0.01835799217224121 -0.01986682042479515 0.031495340168476105 0.028872517868876457 -0.024941667914390564 0.019572986289858818 0.015701763331890106 0.03106922097504139 0.023989589884877205 0.032504141330718994 0.03263712674379349 0.0280996635556221 -0.012960121035575867 -0.027359651401638985 0.015706289559602737 -0.01875990256667137 0.024606432765722275 -0.02387976460158825 -0.02481260895729065 -0.016551580280065536 0.021642403677105904 -0.02348160743713379 0.015369592234492302 -0.02759278193116188 -0.026908904314041138 0.023607410490512848 0.030125226825475693 -0.024477887898683548 0.0237351655960083 -0.022992396727204323 -0.01861443929374218 0.023258157074451447 0.028356963768601418 0.022453023120760918 0.009837417863309383 0.021719392389059067 0.027496246621012688 0.028073811903595924 0.016211841255426407 -0.031810641288757324 0.0300582405179739 -0.031283289194107056 -0.00738686416298151 0.023378001525998116 -0.030035803094506264 -0.03179464489221573 0.026507370173931122 -0.008513077162206173 0.0067959558218717575 -0.028085976839065552 -0.03212077543139458 0.015139264985918999 -0.030847303569316864 0.02155335433781147 0.029918169602751732 0.026605289429426193 0.030140623450279236 -0.0171930231153965 0.030503682792186737 -0.026744835078716278 0.027171656489372253 -0.024728719145059586 -0.007578124757856131 -0.02489417791366577 -0.029610861092805862 0.022418292239308357 0.02438322827219963 -0.024943610653281212 -0.016742154955863953 -0.022672757506370544 -0.03058049827814102 0.014583536423742771 0.015951890498399734 -0.018402889370918274 -0.020899316295981407 0.02912473864853382 -0.02875112183392048 -0.030741149559617043 0.021770207211375237 
